product_id,code,name_short_en,product_level,top_parent_id,product_id_hierarchy
783,1514,"Rapeseed, colza or mustard oil,",4,2,2.114.783
784,1515,Other vegetable fats and oils,4,2,2.114.784
785,1516,"Vegetable fats, hydrogenated",4,2,2.114.785
786,1517,Margarine,4,2,2.114.786
787,1518,"Animal or vegetable fats and oils, processed",4,2,2.114.787
788,1520,Glycerol,4,2,2.114.788
789,1521,Vegetable waxes and beeswax,4,2,2.114.789
790,1522,Degras and wax residues,4,2,2.114.790
791,1601,Sausages,4,2,2.115.791
792,1602,Other prepared or preserved meat,4,2,2.115.792
793,1603,Extracts and juices of meat or fish,4,2,2.115.793
794,1604,Prepared or preserved fish,4,2,2.115.794
795,1605,Prepared aquatic invertibrates,4,2,2.115.795
796,1701,Sugarcane & sucrose,4,2,2.116.796
797,1702,Other sugars,4,2,2.116.797
798,1703,Molasses,4,2,2.116.798
799,1704,Confectionery sugar,4,2,2.116.799
800,1801,Cocoa beans,4,2,2.117.800
801,1802,Cocoa residues,4,2,2.117.801
802,1803,Cocoa paste,4,2,2.117.802
803,1804,Cocoa butter,4,2,2.117.803
804,1805,Cocoa powder,4,2,2.117.804
805,1806,Chocolates,4,2,2.117.805
806,1901,Malt extract,4,2,2.118.806
807,1902,Pasta,4,2,2.118.807
808,1903,Tapioca,4,2,2.118.808
809,1904,Cereal foods,4,2,2.118.809
810,1905,Bakery products,4,2,2.118.810
811,2001,Pickled fruits and vegetables,4,2,2.119.811
812,2002,"Tomatoes, prepared or preserved",4,2,2.119.812
813,2003,"Mushrooms, prepared or preserved",4,2,2.119.813
814,2004,"Other vegetables, frozen",4,2,2.119.814
815,2005,"Other vegetables, prepared or preserved",4,2,2.119.815
816,2006,"Vegetables, fruits and nuts, preserved by sugar",4,2,2.119.816
817,2007,"Jams, jellies and marmalades",4,2,2.119.817
818,2008,"Fruits and nuts, otherwise prepared",4,2,2.119.818
819,2009,Fruit juices,4,2,2.119.819
820,2101,Coffee extracts,4,2,2.120.820
821,2102,Yeasts,4,2,2.120.821
822,2103,Sauces and seasonings,4,2,2.120.822
823,2104,Soups and broths,4,2,2.120.823
824,2105,Ice cream,4,2,2.120.824
825,2106,Food preparations n.e.c.,4,2,2.120.825
826,2201,Waters,4,2,2.121.826
827,2202,"Waters, flavored or sweetened",4,2,2.121.827
828,2203,Beer,4,2,2.121.828
829,2204,Wine,4,2,2.121.829
830,2205,"Wine, flavored",4,2,2.121.830
831,2206,Other fermented beverages,4,2,2.121.831
832,2207,Ethyl alcohol > 80%,4,2,2.121.832
833,2208,Spirits < 80% alcohol,4,2,2.121.833
834,2209,Vinegars,4,2,2.121.834
835,2301,"Flours of fish, for animal feed",4,2,2.122.835
836,2302,Cereal residues,4,2,2.122.836
837,2303,Starch residues,4,2,2.122.837
838,2304,Solid soybean residues,4,2,2.122.838
839,2305,Solid peanut residues,4,2,2.122.839
840,2306,Solid vegetable oil and fat residues,4,2,2.122.840
841,2307,Wine lees,4,2,2.122.841
842,2308,Vegetable materials for animal feeding,4,2,2.122.842
843,2309,Animal feed,4,2,2.122.843
844,2401,Unmanufactured tobacco,4,2,2.123.844
845,2402,Cigars and cigarettes,4,2,2.123.845
846,2403,Other manufactured tobacco,4,2,2.123.846
847,2501,Salt,4,4,4.124.847
848,2502,Unroasted iron pyrites,4,4,4.124.848
849,2503,"Sulphur, crude",4,4,4.124.849
850,2504,Natural graphite,4,4,4.124.850
851,2505,Natural sands,4,4,4.124.851
852,2506,Quartz,4,4,4.124.852
853,2507,Kaolin,4,4,4.124.853
854,2508,Clays,4,4,4.124.854
855,2509,Chalk,4,4,4.124.855
856,2510,Natural calcium phosphates,4,4,4.124.856
857,2511,Natural barium sulfate,4,4,4.124.857
858,2512,Siliceous fossil meals and earths,4,4,4.124.858
859,2513,Natural abrasives,4,4,4.124.859
860,2514,Slate,4,4,4.124.860
861,2515,Marble,4,4,4.124.861
862,2516,Granite,4,4,4.124.862
863,2517,Gravel,4,4,4.124.863
864,2518,Dolomite,4,4,4.124.864
865,2519,Natural magnesia,4,4,4.124.865
866,2520,Gypsum,4,4,4.124.866
867,2521,Limstone,4,4,4.124.867
868,2522,Quicklime,4,4,4.124.868
869,2523,Cements,4,4,4.124.869
870,2524,Asbestos,4,4,4.124.870
871,2525,Mica,4,4,4.124.871
872,2526,Natural steatite,4,4,4.124.872
873,2528,Natural borates,4,4,4.124.873
874,2529,Feldspar,4,4,4.124.874
875,2530,Mineral substances n.e.c.,4,4,4.124.875
876,2601,Iron ores and concentrates,4,4,4.125.876
877,2602,Manganese > 47% by weight,4,4,4.125.877
878,2603,Copper ore,4,4,4.125.878
879,2604,Nickel ore,4,4,4.125.879
880,2605,Cobalt ore,4,4,4.125.880
881,2606,Aluminum ore,4,4,4.125.881
882,2607,Lead ore,4,4,4.125.882
883,2608,Zinc ore,4,4,4.125.883
884,2609,Tin ore,4,4,4.125.884
885,2610,Chromium ore,4,4,4.125.885
886,2611,Tungsten ore,4,4,4.125.886
887,2612,Uranium ore,4,4,4.125.887
888,2613,Molybdenum ore,4,4,4.125.888
889,2614,Titanium ore,4,4,4.125.889
890,2615,Zirconium ore,4,4,4.125.890
891,2616,Precious metal ores,4,4,4.125.891
892,2617,Other ores,4,4,4.125.892
893,2618,Granulated iron or steel slag,4,4,4.125.893
894,2619,Iron or steel slag,4,4,4.125.894
895,2620,"Slag, ash and residues containing metals",4,4,4.125.895
896,2621,Other slag and ash,4,4,4.125.896
897,2701,Coal,4,4,4.126.897
898,2702,Lignite,4,4,4.126.898
899,2703,Peat,4,4,4.126.899
900,2704,Coke,4,4,4.126.900
901,2705,Non-petroleum gases,4,4,4.126.901
902,2706,"Tar distilled from coal, lignite etc.",4,4,4.126.902
903,2707,Oils etc. from high temperature coal tar,4,4,4.126.903
904,2708,Pitch and pitch coke,4,4,4.126.904
905,2709,"Petroleum oils, crude",4,4,4.126.905
906,2710,"Petroleum oils, refined",4,4,4.126.906
907,2711,Petroleum gases,4,4,4.126.907
908,2712,Petroleum jelly,4,4,4.126.908
909,2713,Petroleum coke,4,4,4.126.909
910,2714,"Bitumen and asphalt, natural",4,4,4.126.910
911,2715,Bituminous mixtures,4,4,4.126.911
912,2716,Electrical energy,4,4,4.126.912
913,2801,Iodine,4,6,6.127.913
914,2802,"Sulfur, sublimed or precipitated",4,6,6.127.914
915,2803,Carbon,4,6,6.127.915
916,2804,Silicon & rare gases,4,6,6.127.916
917,2805,Rare-earth metals,4,6,6.127.917
918,2806,Hydrochloric acid,4,6,6.127.918
919,2807,"Sulfiric acid, oleum",4,6,6.127.919
920,2808,Sulfonitric acids,4,6,6.127.920
921,2809,Phosphoric acid etc.,4,6,6.127.921
922,2810,Oxides of boron; boric acids,4,6,6.127.922
923,2811,Other inorganic acids,4,6,6.127.923
924,2812,Halides of nonmetals,4,6,6.127.924
