product_id,code,name_short_en,product_level,top_parent_id,product_id_hierarchy
810,2682,"Wool degreased, uncombed of sheep or lambs",4,3,3.117.810
811,2683,"Fine animal hair, not carded or combed",4,3,3.117.811
812,2685,"Horsehair and other coarse animal hair, not carded or combed",4,3,3.117.812
813,2686,"Waste of sheep's or lambs' wool, or of other animal hair, nes",4,3,3.117.813
814,2687,"Sheep's or lambs' wool, or of other animal hair, carded or combed",4,3,3.117.814
815,2690,Old clothing and other old textile articles; rags,4,3,3.117.815
816,2711,"Animal or vegetable fertilizer, crude",4,3,3.118.816
817,2712,Natural sodium nitrate,4,3,3.118.817
818,2713,"Natural calcium phosphates, natural aluminium, etc",4,3,3.118.818
819,2714,"Potassium salts, natural, crude",4,3,3.118.819
820,2731,"Building and monumental (dimension) stone, roughly squared, split",4,3,3.118.820
821,2732,"Gypsum, plasters, limestone flux and calcareous stone",4,3,3.118.821
822,2733,"Sands, excluding metal-bearing sands",4,3,3.118.822
823,2734,"Pebbles, gravel, crushed or broken stone, etc",4,3,3.118.823
824,2741,"Sulphur (other than sublimed, precipitated or colloidal)",4,3,3.118.824
825,2742,"Iron pyrites, unroasted",4,3,3.118.825
826,2771,Industrial diamonds,4,3,3.118.826
827,2772,Other natural abrasives,4,3,3.118.827
828,2782,"Clay and other refractory minerals, nes",4,3,3.118.828
829,2783,Common salt; pure sodium chloride; salt liquors; sea water,4,3,3.118.829
830,2784,Asbestos,4,3,3.118.830
831,2785,"Quartz, mica, felspar, fluorspar, cryolite and chiolite",4,3,3.118.831
832,2786,"Slag, scalings, dross and similar waste, nes",4,3,3.118.832
833,2789,"Minerals, crude, nes",4,3,3.118.833
834,2814,Roasted iron pyrites,4,3,3.119.834
835,2815,"Iron ore and concentrates, not agglomerated",4,3,3.119.835
836,2816,Iron ore agglomerates,4,3,3.119.836
837,2820,Waste and scrap metal of iron or steel,4,3,3.119.837
838,2860,Ores and concentrates of uranium and thorium,4,3,3.119.838
839,2871,Copper ore and concentrates; copper matte; cement copper,4,3,3.119.839
840,2872,"Nickel ores and concentrates; nickel mattes, etc",4,3,3.119.840
841,2873,Aluminium ores and concentrates (including alumina),4,3,3.119.841
842,2874,Lead ores and concentrates,4,3,3.119.842
843,2875,Zinc ores and concentrates,4,3,3.119.843
844,2876,Tin ores and concentrates,4,3,3.119.844
845,2877,Manganese ore and concentrates,4,3,3.119.845
846,2879,Ores and concentrates of other non-ferrous base metals,4,3,3.119.846
847,2881,"Ash and residues, nes",4,3,3.119.847
848,2882,"Other non-ferrous base metal waste and scrap, nes",4,3,3.119.848
849,2890,"Ores and concentrates of precious metals, waste, scrap",4,3,3.119.849
850,2911,"Bones, ivory, horns, coral, shells and similar products",4,3,3.120.850
851,2919,"Other materials of animal origin, nes",4,3,3.120.851
852,2922,"Natural gums, resins, lacs and balsams",4,3,3.120.852
853,2923,Vegetable plaiting materials,4,3,3.120.853
854,2924,Plants and parts of trees used in perfumery; in pharmacy; etc,4,3,3.120.854
855,2925,"Seeds, fruits and spores, nes, for planting",4,3,3.120.855
856,2926,"Live plants, bulbs, etc",4,3,3.120.856
857,2927,Cut flowers and foliage,4,3,3.120.857
858,2929,"Other materials of vegetable origin, nes",4,3,3.120.858
859,3221,"Anthracite, not agglomerated",4,4,4.121.859
860,3222,"Other coal, not agglomerated",4,4,4.121.860
861,3223,"Lignite, not agglomerated",4,4,4.121.861
862,3224,"Peat, not agglomerated",4,4,4.121.862
863,3231,"Briquettes, ovoids, from coal, lignite or peat",4,4,4.121.863
864,3232,"Coke and semi-coke of coal, of lignite or peat; retort carbon",4,4,4.121.864
865,3330,Crude petroleum and oils obtained from bituminous materials,4,4,4.122.865
866,3340,"Petroleum products, refined",4,4,4.122.866
867,3341,Gasoline and other light oils,4,4,4.122.867
868,3342,Kerosene and other medium oils,4,4,4.122.868
869,3343,Gas oils,4,4,4.122.869
